Item ID,EZ Number,Name,Extended description,Standard cost,Base price,On hand,On hold,On order,Note,Enable bin tracking
1.1,,*****IDCA & Siemens 7 Specific Parts*****,*****Critical Electrical Components*****,,,,,,,False
1.1.1,,*****Additional Electrical Components*****,*****Suggested Items But Optional*****,,,,,,,False
1.2,,*****Suggested Cart Components*****,,,,,,,,False
1.3,,*****Items 49-52 Accessory Items For 47*****,,,,,,,,False
1.3.1,,*****Item 51 Used To Install 49*****,,,,,,,,False
1.4,,*****Items 55-58 Accessory Items For 53*****,,,,,,,,False
1.4.1,,*****Item 54 Used To Install 52*****,,,,,,,,False
1.5,,*****Items 61-64 Accessory Items For 59*****,,,,,,,,False
1.5.1,,*****Item 57 Used To Install 55*****,,,,,,,,False
1.6,,*****Suggested Track Components*****,,,,,,,,False
1.7,,*****Items 68-71 To Replace Liner*****,*****On Item 1239 The Complete Assembly*****,,,,,,,False
1.8,,*****Other Useful Tools*****,,,,,,,,False
100,,Credit,,0,,,,,,False
10079908,,Labor (Hours),,0,0,,,,,False
10079909,,Item (Meters),Equal lay rope right z/Z 6 x 19 + 1SFC zn k,0,0,,,,,False
1155290,,Sales Tax,,,,3,,0,,False
12090014,,Cassette for 2 magnets for selective braking system,,521.854,729.93,2,0,0,,True
13110009,,Not-spliced steel-wire-rope Ø 12 mm for,"lifter-system, with clamp-jaw-toboggans",4.03,5.6,0,3110,3110,,True
13110009-1,,Splice Fee,Splice Fee 12 mm,1980,2376,-1,0,,,False
13110009-2,,Splice Fee,Splice Fee 12 mm,,,,,,,False
13110011,,"Schleppseil Ø 12 mm ungespleißt znk Stahlseele, 1960 N/qmm mit 6 x 19S SE Zinkkl. B sZ",,0,3.72,,,,,False
13110014,,steel wire rope Ø 12 mm,1960 N/qmm with 6 x 19 seale + PP,3.62,4.52,0,0,0,,True
13199617,65094,Manual worm gear winch type 238/10 200 kg,,2322.8165,2903.5206,0,0,0,,False
14090039,,Daily Allowance Pay,,0,0,,,,,False
14590002,,Packing Charges,,0,0,,,,,False
14590011,,"Transport Luft VK Drittland steuerfrei, Lufttransportauftrag",,1014.32,1267.91,,,,,False
14590012,,"Transport See VK Drittland steuerfrei, Seetransport-Anfrage",,7720.18,9650.22,,,,,False
1509000,,Shipping Charges Non Inventory,,0,0,,,,,False
15090000,,Shipping Charges Inventory,,0,0,0,,,,False
165511804,,Seat shell twin seater black standard,,356.0125,445.0156,2,,0,,True
165511806,,Seat shell twin seater telegrey RAL 7047,,356.0125,445.0156,1,,0,,True
165511814,,Backrest twin seater black standard,,393.832,492.29,2,,0,,True
165511816,,Backrest twin seater telegrey RAL 7047,,393.832,492.29,1,,0,,True
17360006,61783,Vahle Fixpunktlasche FABA 100,,0,2.17,,,,,False
17360275,,"Lappkabel Ölflex Classic110 CY 2x0,75mm²",,1.37,1.72,,,,,False
17361680,61680,Durchführungstülle HV-1203,VE=100,0,0,,,,,False
17361770,61770,One-arm-contact 20 A orange,current collector type EAS-L 20 PH,30.04,37.55,30,0,0,,True
17361781,61780,"Vahle Stoßeinspeisung 50 A, ES-FSE100-50A-27 KATALOG-NR. 241015050",,0,5.96,,,,,False
17362532,2816,EFFBE rubber spring 2532 CR 70 shore A,DIN 9835,4.1895,5.2369,3,0,0,,True
17363232,60604,EFFBE rubber spring 68 Shore A 3232 CR,DIN 9835,9.595,11.9938,4,0,0,,True
17390081,,"Aufkleber für Coaster-Schlitten (USA), Größe 90 x 115 mm, Ecken abgerundet",,0,4.03,,,,,False
17390085,,Safety Sticker "Safety Belt" (French),90mm x 115mm,3.06,3.82,103,,,,True
17390087,,Safety Sticker "Buckle Up It's The Law",90mm x 152.5mm,2.3,4.5,905,0,0,,True
17579000,,Item Correction Non-Inventory,,0,0,,,,,False
17579099,,Item (Each),SEW RF137 DRN180M4/RS/TF/C/DH,0,0,0,2,0,,False
18206352,,Keypad FBG11B,,39.59,47.51,,,,,True
18360000,6017,Chassis for Alpine Coaster orange,special design,200.45,250.56,5,,,"ATTENTION - This version is no longer sold.  Only valid for Okemo, Greek & Snowbird.  Will work for Spirit, Park City, Cranmore & Holiday if seat belt holes are bored out for ALR.",True
18360001,,"Karosse AlpCo orange m.Verbreitg m.Licht, 8 mm HDPE Farbe orange 2 % UV-stab.",,0,0,,,,ATTENTION - This version is no longer sold.  Use new item number Z 20521-140-0004 (EZ 6019).,False
18360002,,"Karosse AlpCo gelbgrün m.Verbreitg m.Licht, 8 mm HDPE Farbe gelbgrün 2 % UV-st",,0,0,,,,ATTENTION - This version is no longer sold.  Use new item number Z 20521-140-0003 (EZ 6018).,False
18360011,6013,Coach-yellow/green-with broadening/without light,8mm HDPE,200.45,250.56,0,,,"ATTENTION - This version is no longer sold.  Only valid for Okemo, Greek & Snowbird.  Will work for Spirit, Park City, Cranmore & Holiday if seat belt holes are bored out for ALR.",True
18361330,,Brush strip flex with clamp profile bristle 50mm,PA6 black,12.7965,15.9956,,,,,False
18375000,70946,Safety belt buckle for lockable belt system,,12.13,35,99,35,35,READ ALL 
